,seqnames,start,end,width,strand,Conc,Conc_0.mM,Conc_10.mM,Fold,p.value,FDR
30,chr3,194158925,194159425,501,*,7.47,5.96,8.19,-2.23,1.18E-30,4.89E-27
31,chr2,240385522,240386022,501,*,7.79,6.36,8.5,-2.13,1.28E-30,5.05E-27
32,chr7,99975928,99976428,501,*,8.16,6.81,8.85,-2.03,1.30E-30,5.05E-27
33,chr7,5798393,5798893,501,*,6.1,3.53,6.98,-3.45,2.26E-30,8.49E-27
34,chr13,109271831,109272331,501,*,7.72,6.14,8.46,-2.32,5.24E-30,1.91E-26
35,chr15,65300375,65300875,501,*,6.27,4.35,7.06,-2.72,6.94E-30,2.46E-26
36,chr17,58679226,58680121,896,*,8.13,6.7,8.84,-2.14,3.54E-29,1.22E-25
37,chr16,21637115,21637615,501,*,6.33,4.49,7.11,-2.63,5.00E-29,1.68E-25
38,chr11,44301454,44301954,501,*,8.61,7.04,9.35,-2.31,9.05E-29,2.96E-25
39,chr6,34202248,34202748,501,*,6.23,4.38,7.02,-2.64,9.45E-29,3.01E-25
40,chr6,158867815,158868315,501,*,6.58,4.73,7.36,-2.63,1.03E-28,3.18E-25
41,chr18,23566093,23566593,501,*,5.53,1.42,6.48,-5.06,1.12E-28,3.41E-25
42,chr3,38151876,38152376,501,*,6.75,4.98,7.52,-2.54,1.98E-28,5.84E-25
43,chr20,58619939,58620439,501,*,7.28,5.86,7.99,-2.13,2.27E-28,6.56E-25
44,chr3,197484207,197485056,850,*,8.23,6.88,8.91,-2.03,3.06E-28,8.62E-25
45,chrX,69153286,69153786,501,*,6.95,5.3,7.7,-2.4,5.49E-28,1.51E-24
46,chr7,105787053,105787553,501,*,7.85,6.45,8.54,-2.1,6.68E-28,1.80E-24
47,chr5,133047896,133048396,501,*,6.12,4.15,6.92,-2.77,2.01E-27,5.30E-24
48,chr17,68099740,68100240,501,*,7.18,5.56,7.93,-2.37,2.38E-27,6.16E-24
49,chr16,21630035,21630535,501,*,5.96,3.6,6.81,-3.21,3.19E-27,8.08E-24
50,chr6,150492433,150492933,501,*,7.1,5.71,7.79,-2.08,3.42E-27,8.48E-24
51,chr17,31773126,31773626,501,*,5.59,2.87,6.48,-3.61,5.12E-27,1.25E-23
52,chr6,15073202,15073702,501,*,6.15,4.27,6.94,-2.66,5.72E-27,1.37E-23
53,chr1,67404175,67404675,501,*,6.18,4.19,6.99,-2.8,1.11E-26,2.60E-23
54,chr16,70804724,70805224,501,*,5.93,3.53,6.78,-3.25,1.53E-26,3.53E-23
55,chr13,29454827,29455327,501,*,6.94,5.55,7.63,-2.08,2.04E-26,4.60E-23
56,chr5,159337547,159338047,501,*,6.53,4.87,7.28,-2.41,2.47E-26,5.47E-23
57,chr11,44007877,44008377,501,*,6.93,5.49,7.64,-2.15,2.72E-26,5.92E-23
58,chr5,132251354,132251854,501,*,7.9,6.76,8.52,-1.76,5.75E-26,1.23E-22
59,chr19,46196147,46196647,501,*,7.23,5.91,7.91,-2,2.54E-25,5.35E-22
60,chr10,3775497,3775997,501,*,7.79,6.45,8.47,-2.02,4.03E-25,8.34E-22
61,chr7,150976670,150977170,501,*,7.42,6.16,8.08,-1.92,7.33E-25,1.49E-21
62,chr12,116661299,116661799,501,*,5.66,3.4,6.5,-3.11,7.98E-25,1.60E-21
63,chr19,55018132,55018632,501,*,6.69,4.95,7.46,-2.51,1.50E-24,2.95E-21
64,chr5,142484748,142485248,501,*,6.52,4.89,7.26,-2.37,4.15E-24,8.05E-21
65,chr19,45721954,45722454,501,*,6.34,4.81,7.06,-2.25,1.04E-23,1.99E-20
66,chr9,109816409,109816909,501,*,7.8,6.51,8.47,-1.96,1.41E-23,2.65E-20
67,chr8,127949623,127950123,501,*,8.64,7.64,9.22,-1.58,1.54E-23,2.86E-20
68,chr20,31700117,31700617,501,*,6.95,5.52,7.65,-2.13,2.04E-23,3.73E-20
69,chr10,72303528,72304028,501,*,6.41,4.65,7.17,-2.52,2.12E-23,3.82E-20
70,chr19,40163558,40164058,501,*,6.02,4.19,6.8,-2.61,2.65E-23,4.71E-20
71,chr12,6190148,6190648,501,*,5.35,2.81,6.22,-3.41,2.76E-23,4.82E-20
72,chr6,3504934,3505434,501,*,5.88,3.83,6.69,-2.86,3.93E-23,6.78E-20
73,chr20,41006885,41007385,501,*,6.76,5.37,7.45,-2.08,4.82E-23,8.20E-20
74,chr13,44407849,44408349,501,*,6.44,4.88,7.17,-2.29,9.86E-23,1.65E-19
75,chr17,49252307,49252807,501,*,6.77,5.48,7.44,-1.96,1.32E-22,2.18E-19
76,chr2,124607154,124607654,501,*,6.94,5.6,7.63,-2.03,1.35E-22,2.18E-19
77,chr9,110050948,110051448,501,*,6.08,4.32,6.85,-2.53,1.35E-22,2.18E-19
78,chr11,129814600,129815100,501,*,6.99,5.77,7.64,-1.87,1.38E-22,2.19E-19
79,chr5,174159512,174160012,501,*,7.97,6.91,8.57,-1.66,1.44E-22,2.26E-19
80,chr1,223703247,223703747,501,*,6.73,5.34,7.42,-2.08,1.62E-22,2.52E-19
81,chr19,55024964,55025464,501,*,5.55,3.35,6.38,-3.04,1.75E-22,2.69E-19
82,chr9,95769392,95769892,501,*,6.74,5.41,7.42,-2.01,2.38E-22,3.60E-19
83,chr10,110512610,110513110,501,*,7.59,6.24,8.27,-2.03,2.70E-22,4.03E-19
84,chrX,65690367,65690867,501,*,6.69,5.33,7.38,-2.06,3.69E-22,5.45E-19
85,chr5,76367946,76368446,501,*,5.91,4.05,6.7,-2.64,6.14E-22,8.97E-19
86,chr19,6540987,6541487,501,*,5.67,3.83,6.46,-2.63,7.17E-22,1.03E-18
87,chr2,43106825,43107325,501,*,6.67,5.34,7.34,-2.01,7.23E-22,1.03E-18
88,chr3,192876280,192876780,501,*,6.12,4.62,6.84,-2.23,9.30E-22,1.31E-18
89,chr6,36363349,36363849,501,*,5.11,2.08,6.02,-3.94,2.35E-21,3.28E-18
90,chr4,183733025,183733525,501,*,5.97,4.13,6.76,-2.63,2.39E-21,3.29E-18
91,chr9,34956052,34956552,501,*,6.75,5.47,7.42,-1.94,2.65E-21,3.61E-18
92,chrX,123736354,123736854,501,*,6.09,4.59,6.81,-2.23,3.61E-21,4.87E-18
93,chr1,43929496,43929996,501,*,6.57,5.27,7.24,-1.96,4.02E-21,5.36E-18
94,chr3,127913996,127914496,501,*,6,4.38,6.74,-2.36,6.73E-21,8.89E-18
95,chr13,44692277,44692777,501,*,6.18,4.68,6.89,-2.21,7.02E-21,9.17E-18
96,chr10,110525795,110526295,501,*,6.48,4.94,7.21,-2.27,8.37E-21,1.08E-17
98,chr17,31675442,31675942,501,*,6.19,4.68,6.91,-2.23,9.95E-21,1.26E-17
99,chr7,43647805,43648305,501,*,6.88,5.66,7.54,-1.88,1.09E-20,1.37E-17
100,chr22,39359739,39360239,501,*,6.12,4.67,6.83,-2.16,2.01E-20,2.49E-17
101,chr5,142280020,142280520,501,*,8.23,7.27,8.79,-1.52,2.72E-20,3.34E-17
102,chr13,110831424,110831924,501,*,6.73,5.33,7.43,-2.1,2.83E-20,3.44E-17
103,chr11,120236110,120237059,950,*,8.67,7.67,9.26,-1.59,3.22E-20,3.87E-17
104,chr9,33749442,33749942,501,*,6.06,4.48,6.8,-2.31,3.29E-20,3.93E-17
105,chr15,93044553,93045053,501,*,7.1,4.8,7.95,-3.15,4.29E-20,5.07E-17
106,chr6,10481814,10482314,501,*,5.2,2.91,6.05,-3.14,6.76E-20,7.92E-17
107,chr8,127283259,127283759,501,*,7.14,6.02,7.76,-1.74,7.03E-20,8.15E-17
108,chr15,75149997,75150497,501,*,7.22,6.04,7.85,-1.81,7.20E-20,8.28E-17
109,chr1,43005826,43006326,501,*,7.19,6.05,7.82,-1.77,7.66E-20,8.72E-17
110,chr2,109046822,109047322,501,*,7.25,6.12,7.88,-1.76,7.77E-20,8.77E-17
111,chr17,74921074,74921574,501,*,7.3,6.13,7.94,-1.81,9.94E-20,1.11E-16
112,chr2,160241421,160241921,501,*,6.02,4.56,6.73,-2.17,1.10E-19,1.21E-16
113,chr11,118126064,118126922,859,*,7.97,6.85,8.6,-1.75,1.15E-19,1.26E-16
114,chr3,186760378,186760878,501,*,6.34,5,7.02,-2.02,1.20E-19,1.31E-16
115,chr19,13185904,13186404,501,*,5.37,3.28,6.19,-2.91,1.39E-19,1.50E-16
116,chr3,127817440,127817940,501,*,6.76,5.59,7.39,-1.8,1.62E-19,1.73E-16
117,chr1,58779919,58780419,501,*,8.25,7.02,8.91,-1.89,1.66E-19,1.76E-16
118,chr16,20944956,20945456,501,*,6.04,4.31,6.81,-2.5,1.71E-19,1.79E-16
119,chr2,181876562,181877062,501,*,7.06,5.86,7.71,-1.85,1.72E-19,1.79E-16
120,chr20,38143237,38143737,501,*,8.81,7.62,9.45,-1.83,1.77E-19,1.83E-16
121,chr20,1417289,1417789,501,*,7.06,6,7.67,-1.67,2.90E-19,2.97E-16
122,chr20,57429545,57430045,501,*,7.74,6.79,8.31,-1.51,3.18E-19,3.23E-16
123,chr18,12776322,12776822,501,*,6.11,4.69,6.81,-2.12,3.29E-19,3.32E-16
124,chr15,59294584,59295084,501,*,5.32,3.18,6.15,-2.98,3.47E-19,3.46E-16
125,chr20,373448,373948,501,*,7.34,6.11,7.99,-1.88,3.48E-19,3.46E-16
126,chr5,171537923,171538423,501,*,5.68,3.96,6.44,-2.48,4.01E-19,3.95E-16
127,chr12,6142775,6143275,501,*,5.24,2.85,6.1,-3.25,4.77E-19,4.66E-16
128,chr7,105803109,105803609,501,*,6.9,5.79,7.52,-1.73,5.57E-19,5.40E-16
129,chr14,71228608,71229108,501,*,6.27,4.95,6.95,-2,5.93E-19,5.71E-16
130,chr6,108689258,108689758,501,*,6.09,4.55,6.82,-2.27,6.09E-19,5.82E-16
131,chr6,26165785,26166285,501,*,6.21,4.81,6.9,-2.09,6.43E-19,6.09E-16
132,chr19,44575201,44575701,501,*,6.1,4.65,6.81,-2.16,7.13E-19,6.70E-16
133,chr1,9009350,9009850,501,*,5.89,4.31,6.62,-2.31,7.26E-19,6.77E-16
134,chr4,140102365,140102865,501,*,5.41,3.45,6.21,-2.76,7.49E-19,6.94E-16
135,chr2,150472448,150472948,501,*,5.89,4.21,6.65,-2.44,8.29E-19,7.54E-16
136,chr7,42070020,42070520,501,*,7.18,5.98,7.82,-1.84,8.30E-19,7.54E-16
137,chr17,39177248,39177748,501,*,6.6,5.36,7.25,-1.9,8.32E-19,7.54E-16
138,chr6,34457993,34458493,501,*,5.97,4.38,6.71,-2.33,8.43E-19,7.59E-16
139,chr6,12324016,12324516,501,*,7.58,6.51,8.18,-1.67,9.01E-19,8.05E-16
140,chr10,118842685,118843185,501,*,6.41,5.14,7.07,-1.94,1.02E-18,9.04E-16
141,chr19,11191236,11191736,501,*,6.59,5.31,7.26,-1.95,1.06E-18,9.32E-16
142,chr4,183725588,183726088,501,*,5.72,4.09,6.47,-2.38,1.07E-18,9.38E-16
143,chr20,34369227,34369727,501,*,6.72,5.49,7.37,-1.88,1.28E-18,1.11E-15
144,chr7,5794157,5794657,501,*,5.72,4.07,6.47,-2.4,1.29E-18,1.11E-15
145,chr11,9983205,9983705,501,*,5.65,3.96,6.41,-2.45,1.46E-18,1.24E-15
146,chr20,54134758,54135258,501,*,6.64,5.53,7.26,-1.74,1.46E-18,1.24E-15
147,chr3,153138569,153139069,501,*,7.56,6.55,8.16,-1.61,1.56E-18,1.31E-15
148,chr5,171537378,171537878,501,*,7.32,6.15,7.96,-1.81,1.65E-18,1.38E-15
149,chr21,35217533,35218033,501,*,7.42,6.35,8.03,-1.68,1.65E-18,1.38E-15
150,chr11,43920595,43921095,501,*,6.75,5.51,7.41,-1.9,1.71E-18,1.41E-15
151,chr6,12292248,12292748,501,*,5.97,4.5,6.68,-2.18,1.72E-18,1.41E-15
152,chr1,31593198,31593698,501,*,6.56,5,7.29,-2.29,1.91E-18,1.56E-15
153,chr8,23692998,23693498,501,*,5.43,3.45,6.23,-2.79,2.06E-18,1.67E-15
154,chr5,142512634,142513134,501,*,7.1,5.75,7.79,-2.04,2.38E-18,1.92E-15
155,chr19,55027876,55028376,501,*,6.78,5.62,7.42,-1.8,2.39E-18,1.92E-15
156,chr20,31727398,31727898,501,*,7.68,6.51,8.32,-1.81,2.43E-18,1.93E-15
157,chr5,139550317,139550817,501,*,6.28,4.9,6.97,-2.07,2.81E-18,2.22E-15
158,chr17,77137933,77138433,501,*,6.09,4.73,6.78,-2.05,3.13E-18,2.46E-15
159,chr5,14577630,14578130,501,*,6.18,4.82,6.86,-2.04,3.39E-18,2.65E-15
160,chr19,14512853,14513353,501,*,6.75,5.47,7.42,-1.95,3.83E-18,2.97E-15
161,chr16,84636841,84637341,501,*,6.33,5.04,7.01,-1.97,4.67E-18,3.59E-15
162,chr20,53926493,53926993,501,*,6.89,5.79,7.51,-1.72,4.69E-18,3.59E-15
163,chr11,65435991,65436491,501,*,8.18,7.18,8.77,-1.59,4.71E-18,3.59E-15
164,chr3,185807606,185808106,501,*,7.64,6.64,8.23,-1.59,4.75E-18,3.59E-15
165,chr11,119423529,119424349,821,*,6.43,5.04,7.12,-2.08,4.81E-18,3.62E-15
166,chr19,48405832,48406332,501,*,6.28,5.02,6.94,-1.92,4.94E-18,3.69E-15
167,chr14,31070381,31070881,501,*,5.62,3.97,6.37,-2.39,5.23E-18,3.89E-15
168,chr7,51255446,51255946,501,*,6.98,5.89,7.59,-1.7,6.75E-18,4.99E-15
169,chr5,115930030,115930530,501,*,6.12,4.78,6.8,-2.02,6.89E-18,5.06E-15
170,chr19,3869140,3869640,501,*,7.18,6.14,7.78,-1.65,8.14E-18,5.94E-15
171,chr5,149004980,149005480,501,*,5.71,4.2,6.43,-2.23,8.75E-18,6.35E-15
172,chr2,28406620,28407120,501,*,7.07,5.94,7.7,-1.76,9.57E-18,6.90E-15
173,chr6,28949051,28949551,501,*,4.98,2.43,5.85,-3.42,1.01E-17,7.27E-15
174,chr21,36202088,36202588,501,*,6.96,5.84,7.58,-1.74,1.10E-17,7.81E-15
175,chr14,75283204,75283704,501,*,8.07,7.17,8.63,-1.46,1.15E-17,8.17E-15
176,chr5,151257827,151258327,501,*,6.76,5.47,7.44,-1.97,1.35E-17,9.54E-15
177,chr7,101351724,101352224,501,*,5.95,4.28,6.71,-2.43,1.46E-17,1.02E-14
178,chr1,30758769,30759269,501,*,6.67,5.42,7.33,-1.91,1.47E-17,1.02E-14
179,chr8,26151280,26151780,501,*,6.76,5.71,7.37,-1.66,1.95E-17,1.35E-14
180,chr7,102875719,102876219,501,*,8.29,7.41,8.83,-1.42,2.11E-17,1.46E-14
181,chr1,228452105,228452605,501,*,7.64,6.45,8.28,-1.83,2.12E-17,1.46E-14
182,chr12,1475832,1476332,501,*,5.15,3.11,5.97,-2.86,2.19E-17,1.49E-14
183,chr22,20656942,20657442,501,*,6.35,5.2,6.98,-1.78,2.27E-17,1.54E-14
184,chr17,76601817,76602317,501,*,6.19,4.87,6.87,-2,2.40E-17,1.62E-14
185,chr7,55186093,55186593,501,*,6.13,4.84,6.8,-1.96,2.50E-17,1.68E-14
187,chr19,15498915,15499415,501,*,5.88,4.48,6.58,-2.1,3.59E-17,2.38E-14
188,chr19,51447484,51447984,501,*,6.47,5.28,7.11,-1.84,3.61E-17,2.39E-14
189,chr2,69601066,69601566,501,*,5.77,4.23,6.49,-2.26,4.46E-17,2.92E-14
190,chr5,1789294,1789794,501,*,7.25,6.25,7.83,-1.58,4.48E-17,2.92E-14
191,chr20,57601095,57601595,501,*,6.79,5.66,7.41,-1.75,4.49E-17,2.92E-14
192,chr17,68180240,68180740,501,*,5.77,4.27,6.49,-2.22,4.88E-17,3.15E-14
193,chr1,2255729,2256229,501,*,7.4,6.43,7.98,-1.54,4.95E-17,3.19E-14
194,chr3,150469542,150470042,501,*,6.26,4.97,6.94,-1.97,5.26E-17,3.36E-14
195,chr5,72015043,72015543,501,*,6.43,5.14,7.1,-1.96,5.50E-17,3.50E-14
196,chr3,45125570,45126070,501,*,6.77,5.65,7.39,-1.74,6.70E-17,4.24E-14
197,chr17,17632751,17633251,501,*,7.48,6.57,8.03,-1.45,7.74E-17,4.88E-14
198,chr11,65448458,65448958,501,*,8.85,7.87,9.43,-1.56,7.80E-17,4.89E-14
199,chr6,12314204,12314704,501,*,5.9,4.43,6.61,-2.18,8.46E-17,5.28E-14
200,chr3,125087742,125088242,501,*,6.94,5.95,7.52,-1.57,9.20E-17,5.71E-14
201,chr12,57118636,57119136,501,*,6.52,5.38,7.15,-1.77,9.79E-17,6.05E-14
202,chr10,110513831,110514331,501,*,6.49,5.05,7.2,-2.16,9.88E-17,6.07E-14
203,chr3,149390727,149391227,501,*,6.5,5.24,7.16,-1.92,1.06E-16,6.46E-14
204,chr5,178207107,178207607,501,*,6.32,5.07,6.98,-1.91,1.18E-16,7.17E-14
205,chr16,69064083,69064583,501,*,6.29,5.03,6.95,-1.92,1.38E-16,8.37E-14
206,chr17,43702606,43703106,501,*,6.37,5.19,7.01,-1.82,1.40E-16,8.46E-14
207,chr16,87580816,87581316,501,*,6.31,5.13,6.95,-1.82,1.45E-16,8.67E-14
208,chr12,109763093,109763593,501,*,6.85,5.87,7.43,-1.56,1.50E-16,8.93E-14
210,chr19,48737358,48737858,501,*,7.23,6.31,7.79,-1.48,1.64E-16,9.65E-14
211,chr19,51029602,51030102,501,*,7.81,6.82,8.39,-1.57,1.64E-16,9.65E-14
212,chr17,76256650,76257150,501,*,5.73,4.05,6.48,-2.44,1.70E-16,9.97E-14
213,chr13,35927506,35928006,501,*,6.23,5.01,6.88,-1.87,1.89E-16,1.10E-13
214,chr17,39002036,39002536,501,*,5.58,3.93,6.33,-2.4,1.98E-16,1.15E-13
215,chr8,118098071,118098571,501,*,7.33,6.23,7.95,-1.71,2.00E-16,1.15E-13
216,chr8,127859745,127860245,501,*,8.08,7.2,8.62,-1.42,2.03E-16,1.17E-13
217,chr3,125005576,125006076,501,*,6.44,5.28,7.08,-1.8,2.08E-16,1.19E-13
219,chr1,212655962,212656462,501,*,5.6,4.14,6.31,-2.16,2.50E-16,1.42E-13
220,chr19,6828926,6829426,501,*,8.08,7.29,8.59,-1.3,2.89E-16,1.63E-13
221,chr22,35589265,35589765,501,*,7.6,6.62,8.18,-1.56,3.09E-16,1.73E-13
222,chr5,113038748,113039248,501,*,6.53,5.48,7.14,-1.66,3.20E-16,1.79E-13
223,chr17,68168559,68169059,501,*,5.48,3.89,6.21,-2.33,3.38E-16,1.88E-13
224,chr3,119832022,119832522,501,*,6.69,5.53,7.32,-1.79,3.53E-16,1.96E-13
225,chr6,1190316,1190816,501,*,6.11,4.91,6.75,-1.84,3.66E-16,2.02E-13
226,chr2,54634611,54635111,501,*,7.31,6.24,7.92,-1.68,4.60E-16,2.53E-13
227,chr7,98520416,98520916,501,*,8.03,7.18,8.57,-1.39,5.01E-16,2.74E-13
228,chr3,41159227,41159727,501,*,6.58,5.52,7.18,-1.66,5.43E-16,2.96E-13
229,chr6,3254103,3254603,501,*,6.41,5.32,7.03,-1.7,5.99E-16,3.25E-13
230,chr6,143058828,143059328,501,*,5.41,3.61,6.19,-2.58,6.08E-16,3.28E-13
231,chr5,115833590,115834090,501,*,4.42,0.84,5.35,-4.51,6.10E-16,3.28E-13
232,chr3,129313072,129313572,501,*,7.2,6.18,7.79,-1.61,6.37E-16,3.41E-13
233,chr8,125701044,125701544,501,*,7.51,6.64,8.05,-1.41,6.86E-16,3.66E-13
234,chr6,3898164,3898664,501,*,6.19,4.97,6.84,-1.88,7.11E-16,3.77E-13
235,chr10,90939590,90940090,501,*,6.32,5.05,6.99,-1.93,7.31E-16,3.86E-13
236,chr7,37944146,37944646,501,*,6.93,5.88,7.52,-1.64,7.39E-16,3.89E-13
237,chr7,33979691,33980191,501,*,6.02,4.75,6.68,-1.93,7.96E-16,4.17E-13
238,chr5,179827556,179828056,501,*,6.81,5.66,7.44,-1.79,9.59E-16,5.00E-13
239,chr2,73243964,73244464,501,*,5.3,3.47,6.08,-2.61,9.66E-16,5.02E-13
240,chr17,49146898,49147398,501,*,6.66,5.67,7.25,-1.58,9.90E-16,5.12E-13
241,chr4,48255210,48255710,501,*,5.87,4.47,6.56,-2.09,1.04E-15,5.36E-13
242,chr2,88600023,88600523,501,*,6.81,5.75,7.42,-1.66,1.08E-15,5.55E-13
243,chr8,127294558,127295058,501,*,8.8,7.97,9.33,-1.36,1.12E-15,5.70E-13
244,chr3,158808609,158809109,501,*,6.2,5.07,6.82,-1.74,1.24E-15,6.30E-13
245,chr20,56221153,56221653,501,*,6.67,5.63,7.26,-1.63,1.45E-15,7.33E-13
246,chr11,77560555,77561055,501,*,6.89,5.76,7.52,-1.75,1.46E-15,7.37E-13
247,chr6,157841371,157841871,501,*,6.14,4.88,6.8,-1.92,1.50E-15,7.55E-13
248,chr12,45415302,45415802,501,*,5.99,4.75,6.64,-1.89,1.60E-15,8.00E-13
249,chr5,112522608,112523108,501,*,6.76,5.76,7.35,-1.6,1.62E-15,8.04E-13
250,chr3,188244325,188244825,501,*,6.18,4.89,6.85,-1.95,1.62E-15,8.04E-13
251,chr19,39858466,39858966,501,*,6.85,5.82,7.45,-1.63,1.69E-15,8.36E-13
252,chr17,68706998,68707498,501,*,5.94,4.65,6.61,-1.96,1.74E-15,8.57E-13
253,chr20,47391940,47392440,501,*,7.96,6.99,8.53,-1.54,1.78E-15,8.73E-13
254,chr1,43010949,43011449,501,*,6.64,5.5,7.27,-1.77,1.82E-15,8.88E-13
255,chr11,43944654,43945154,501,*,8.21,7.24,8.79,-1.56,1.90E-15,9.24E-13
256,chr5,14113129,14113629,501,*,7.91,6.94,8.49,-1.54,2.01E-15,9.76E-13
257,chrX,23904078,23904578,501,*,6.48,5.29,7.12,-1.83,2.07E-15,9.98E-13
258,chr10,110408117,110408617,501,*,8.62,7.77,9.14,-1.37,2.22E-15,1.07E-12
259,chr22,37161395,37161895,501,*,7.44,6.42,8.03,-1.62,2.42E-15,1.16E-12
260,chr6,149868155,149868655,501,*,5.66,4.26,6.36,-2.1,2.46E-15,1.17E-12
261,chr2,70360896,70361396,501,*,7.43,6.48,7.99,-1.51,2.71E-15,1.29E-12
262,chr3,67655178,67655678,501,*,6.11,4.93,6.75,-1.81,2.85E-15,1.35E-12
263,chr1,26771538,26772038,501,*,7.97,7.15,8.49,-1.35,2.85E-15,1.35E-12
264,chr12,6092289,6092789,501,*,6.7,5.68,7.28,-1.6,2.98E-15,1.40E-12
265,chr15,31443711,31444211,501,*,5.35,3.82,6.08,-2.25,3.55E-15,1.67E-12
266,chr11,44300767,44301267,501,*,7.1,6.05,7.71,-1.65,3.58E-15,1.67E-12
267,chr11,85844332,85844832,501,*,7.22,6.11,7.84,-1.73,3.72E-15,1.72E-12
268,chr20,31708451,31708951,501,*,8.08,7.21,8.61,-1.4,3.72E-15,1.72E-12
269,chr7,24842846,24843346,501,*,6.54,5.49,7.14,-1.65,3.90E-15,1.80E-12
270,chr12,54383073,54383573,501,*,6.35,5.25,6.96,-1.71,4.32E-15,1.98E-12
271,chr7,5868893,5869393,501,*,5.94,4.37,6.68,-2.3,4.44E-15,2.03E-12
273,chr1,85584320,85584820,501,*,6.25,4.93,6.92,-2,5.16E-15,2.34E-12
274,chr11,65445917,65446417,501,*,9.39,8.47,9.94,-1.47,5.17E-15,2.34E-12
275,chr6,10721344,10721844,501,*,5.97,4.59,6.67,-2.08,6.22E-15,2.79E-12
276,chr3,184810836,184811336,501,*,5.88,4.53,6.56,-2.03,6.22E-15,2.79E-12
277,chr19,16153705,16154205,501,*,7.19,6.21,7.77,-1.56,6.23E-15,2.79E-12
278,chr5,115849423,115849923,501,*,5.12,2.94,5.95,-3.01,6.28E-15,2.80E-12
279,chr7,26052623,26053123,501,*,6.03,4.88,6.66,-1.78,6.32E-15,2.81E-12
280,chr7,5523114,5523614,501,*,8.22,7.29,8.78,-1.48,6.71E-15,2.97E-12
281,chr7,24905952,24906452,501,*,6.74,5.77,7.32,-1.55,6.82E-15,3.01E-12
282,chr6,24668421,24668921,501,*,4.92,2.9,5.73,-2.83,7.50E-15,3.30E-12
283,chr11,131624403,131624903,501,*,6.65,5.52,7.28,-1.76,7.64E-15,3.35E-12
284,chr2,47063473,47063973,501,*,7.41,6.59,7.93,-1.33,7.76E-15,3.39E-12
285,chr2,47258816,47259316,501,*,5.47,4.04,6.18,-2.14,8.53E-15,3.71E-12
286,chr1,234589799,234590299,501,*,6.99,6.12,7.53,-1.41,1.00E-14,4.34E-12
287,chr20,39660841,39661341,501,*,6.36,5.27,6.97,-1.7,1.00E-14,4.34E-12
288,chr15,41930447,41930947,501,*,6.12,4.92,6.76,-1.84,1.06E-14,4.58E-12
289,chr7,157307761,157308261,501,*,6.4,5.29,7.03,-1.73,1.12E-14,4.79E-12
